tconst,directors,writers
tt5229580,nm7753768,nm7753768
tt5232104,"nm7755632,nm7755633","nm7755633,nm7755632"
tt5233166,"nm7756829,nm0781733",nm7756828
tt5233192,,
tt3122378,,"nm0121915,nm3329696"
tt3128030,nm1689158,nm1689158
tt3128914,nm5885508,"nm5885508,nm5885512"
tt3128924,nm5885508,
tt3131362,,
tt3132772,nm5578874,"nm5578874,nm5890048"
tt3133242,nm1534595,nm2547573
tt3137908,,
tt3139090,,
tt3140312,,
tt3141630,nm1046367,nm0796221
tt3142052,nm5899180,nm5899180
tt3143102,nm0029176,nm0029176
tt9126624,nm9808055,nm9808055
tt9131236,nm10191903,nm10191903
tt9133500,nm10192564,
tt9134254,nm1411603,nm1160998
tt9135388,nm9442066,"nm9442066,nm9442058,nm9631419"
tt7649378,nm9429772,
tt6669168,"nm0410658,nm7698549,nm2527744","nm7920998,nm5128295,nm2205625"
tt6670140,nm8633065,nm8633065
tt6671884,nm8808408,
tt6680026,nm8866144,nm8866144
tt6680030,nm2261803,nm2261803
tt6682494,nm4336548,"nm8867963,nm0992048"
tt6683452,nm4460533,nm4460533
tt7654214,nm3525459,nm3525459
tt3920640,nm5697513,
tt7660662,nm0567162,nm0567162
tt7660738,nm2212798,"nm6608129,nm2212798"
tt7664224,nm9439328,
tt7664646,,"nm9439579,nm9439580"
tt7665464,nm8579232,nm8579232
tt7665608,nm6207518,"nm0181311,nm8699398,nm6207518"
tt7665752,nm3584124,nm3584124
tt7668072,nm3745387,nm3745387
tt7670158,,
tt4606480,,
tt4607522,nm1700626,nm1700626
tt4608586,,"nm2225348,nm2226200"
tt4611446,nm3228666,
tt4612834,,nm3227692
tt4612884,,nm6710037
tt4613068,,
tt4613580,nm2482902,nm2482902
tt4616076,,
tt4618116,nm7271406,"nm7271406,nm7271408"
tt4619864,nm7132000,nm7132000
tt4620512,nm5720095,"nm2372843,nm5720095"
tt4622368,nm4342517,
tt4623014,nm3657147,nm3657147
tt4623248,nm0570438,nm7275817
tt4624672,nm7277176,
tt4625098,,nm7277934
tt9145618,nm3376469,nm3376469
tt9145766,,
tt5768438,nm8181221,
tt5768982,nm0170043,nm3295656
tt5769238,nm0468995,"nm0468995,nm4022917,nm0841291"
tt5771198,nm8183891,
tt5771408,"nm5658161,nm7927967","nm7927967,nm5658161,nm5346788"
tt5771410,nm6643442,nm6643442
tt5772208,nm0489256,nm0489256
tt5772862,nm7702935,nm7702935
tt5773998,nm6078100,nm6078100
tt5774170,nm3154713,
tt5774288,,nm3826145
tt5774614,nm5486112,
tt5775006,,
tt5775200,nm3641774,"nm0407794,nm0902437"
tt5776876,nm4672351,nm4672351
tt5778558,nm2480689,nm2480689
tt5778692,,
tt5783362,nm3237962,nm3237962
tt5784142,nm2466300,nm2466300
tt5786916,"nm3843890,nm4098996,nm8198367,nm8198370","nm4098996,nm3843890,nm8198367"
tt5787916,nm3421400,nm3421400
tt7903332,nm1684224,
tt7903740,nm1942937,nm1942937
tt7906026,,
tt7907362,nm9572684,nm9572684
tt7908368,nm9395225,nm9395225
tt7908658,nm0684172,nm9110322
tt7913356,nm4576481,
tt7915326,,nm8154046
tt7917316,nm4528052,nm5761969
tt7917930,,"nm1473557,nm5691941,nm3317635,nm3659547,nm6953130"
tt7920404,nm9547268,nm9547268
tt6253322,nm3452861,"nm0009117,nm8586588"
tt6254894,nm4884935,nm4884935
tt6255132,nm6093718,nm6093718
tt6255560,,nm0494170
tt6255720,,
tt6255752,nm8588781,nm8588781
tt3144270,nm5602348,"nm5602348,nm5901724"
tt3146144,,
tt3147072,nm1507133,nm1029453
tt3149214,nm5908392,nm5908392
tt3150218,nm2077807,nm1217085
