tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000117,short,SaÃ­da do Pessoal OperÃ¡rio da FÃ¡brica ConfianÃ§a,SaÃ­da do Pessoal OperÃ¡rio da FÃ¡brica ConfianÃ§a,0,1896,,1,"Documentary,Short"
tt0000618,short,Salaviinanpolttajat,Salaviinanpolttajat,0,1907,,20,"Comedy,Short"
tt0000730,short,Mr. Jones at the Ball,Mr. Jones at the Ball,0,1908,,8,"Comedy,Short"
tt0001117,short,Cleopatra,ClÃ©opÃ¢tre,0,1910,,,"Drama,History,Romance"
tt0002539,short,The Tribal Law,The Tribal Law,0,1912,,,"Romance,Short,Western"
tt0003003,short,In Convict Garb,In Convict Garb,0,1913,,,"Drama,Short"
tt0004589,short,Shotgun Jones,Shotgun Jones,0,1914,,20,"Short,Western"
tt0005244,movie,The End of the Road,The End of the Road,0,1915,,,"Drama,Romance"
tt0005250,movie,The Eternal City,The Eternal City,0,1915,,80,Drama
tt0006637,movie,The Eternal Grind,The Eternal Grind,0,1916,,,Drama
tt0006794,short,Her Marble Heart,Her Marble Heart,0,1916,,,"Comedy,Short"
tt0007086,short,A Modern Enoch Arden,A Modern Enoch Arden,0,1916,,40,"Comedy,Short"
tt0007424,short,Taking a Rest,Taking a Rest,0,1916,,,"Comedy,Short"
tt0007947,short,The Final Fraud,The Final Fraud,0,1916,,,"Drama,Short"
tt0008989,movie,Dame Nature's Love,Dame Nature's Love,0,1918,,,Documentary
tt0009760,movie,The Venus Model,The Venus Model,0,1918,,50,"Comedy,Romance"
tt0011253,short,The Grocery Clerk,The Grocery Clerk,0,1919,,27,"Comedy,Short"
tt0012255,short,The Haunted House,The Haunted House,0,1921,,21,"Comedy,Horror,Short"
tt0013258,movie,El hÃ©roe de la legiÃ³n,El hÃ©roe de la legiÃ³n,0,1922,,,
tt0013342,movie,Lucrezia Borgia,Lucrezia Borgia,0,1922,,75,"Drama,History,War"
tt0013890,movie,A Bride for a Knight,A Bride for a Knight,0,1923,,,Comedy
tt0016858,movie,The Fighting Cheat,The Fighting Cheat,0,1926,,,Western
tt0017293,movie,Three Thieves,Protsess o tryokh millionakh,0,1926,,66,Comedy
tt0017514,movie,It's Easy to Become a Father,Vater werden ist nicht schwer...,0,1926,,,
tt0017914,movie,Galloping Glory,Galloping Glory,0,1927,,,
tt0017954,movie,Der groÃŸe Sprung,Der groÃŸe Sprung,0,1927,,112,"Adventure,Comedy"
tt0020685,short,Big Hearted,Big Hearted,0,1930,,15,"Comedy,Short"
tt0021140,movie,Men Without Women,Men Without Women,0,1930,,77,"Action,Drama"
tt0021541,short,Western Knights,Western Knights,0,1930,,18,"Comedy,Short,Western"
